index,Consumption,Solar,Wind,hour,day,month,weekday,lag_1,lag_24,lag_48,lag_72,Predicted_Consumption,Total_Generation,Energy_Difference,Battery_Level,Grid_Usage
2020-10-03 21:00:00,16.074046667,0.0,84.72,21,3,10,5,17.481612222,14.000646667,13.227427778,13.683256667,15.241375179688939,84.72,69.47862482031105,100.0,0.0
2020-10-03 22:00:00,11.409155555999998,0.0,35.82,22,3,10,5,16.074046667,12.911414444000002,9.208181111,11.811737778,12.691147633699812,35.82,23.128852366300187,100.0,0.0
2020-10-03 23:00:00,10.666133333,0.0,29.02,23,3,10,5,11.409155555999998,9.255487778,8.881486111000001,8.945623333,10.081156928956272,29.02,18.938843071043728,100.0,0.0
2020-10-04 00:00:00,12.955781111,0.0,62.38,0,4,10,6,10.666133333,13.71114,15.860061110999998,13.518273333,13.596776579834087,62.38,48.78322342016592,100.0,0.0
2020-10-04 01:00:00,13.38204,0.0,50.05,1,4,10,6,12.955781111,14.388266667,13.520284444,15.813352222,14.13506774445656,50.05,35.914932255543434,100.0,0.0
2020-10-04 02:00:00,12.931165556,0.0,21.54,2,4,10,6,13.38204,17.010367778,15.109088889,15.697401111,14.630662170453235,21.54,6.9093378295467645,100.0,0.0
2020-10-04 03:00:00,11.433257778,0.0,22.14,3,4,10,6,12.931165556,9.870873333,11.271113333,11.952765556,11.115980695999038,22.14,11.024019304000962,100.0,0.0
2020-10-04 04:00:00,15.745034444000002,0.0,9.2,4,4,10,6,11.433257778,11.346023333,13.120124444000002,10.659586667,11.217409604619089,9.2,-2.0174096046190897,97.98259039538091,0.0
2020-10-04 05:00:00,13.796147778,0.0,9.84,5,4,10,6,15.745034444000002,10.697804444,14.440144444,12.996668889,13.529966668627024,9.84,-3.689966668627024,94.29262372675389,0.0
2020-10-04 06:00:00,12.634247778,0.7873332999999999,4.05,6,4,10,6,13.796147778,20.058013333,18.448465556,16.331863333,16.987209504913498,4.8373333,-12.149876204913497,82.14274752184039,0.0
2020-10-04 07:00:00,19.558986667,12.2903333,12.45,7,4,10,6,12.634247778,17.992715556,19.674571111,16.951876667,16.429381632767917,24.7403333,8.310951667232082,90.45369918907247,0.0
2020-10-04 08:00:00,17.058048889000002,18.02425,0.0,8,4,10,6,19.558986667,18.865962222,15.854757778,18.991408889,17.8440781031646,18.02425,0.18017189683540025,90.63387108590787,0.0
2020-10-04 09:00:00,11.758876667,5.0225832,0.0,9,4,10,6,17.058048889000002,15.880968889000002,17.620814444,18.646095556,16.040682426849706,5.0225832,-11.018099226849706,79.61577185905816,0.0
